Name,Id,Width cm,Height cm,Depth cm,Weight g,RPG?,Volume,Precise,Sliced,Printed,Done,Hung,,Bigger Screws
Hanabi,98778,12.2,9.7,2.2,141,,260,1,1,1,1,,,FALSE
Scout,291453,6.6,11,3.7,145,,269,1,1,1,1,,,FALSE
Coup,131357,11,15,3.2,154,,528,1,1,1,1,,,FALSE
Cockroach Poker,11971,11.1,11.1,3.5,171,,431,1,1,1,1,,,FALSE
Zombie Kittens,362202,16.2,11.3,4.2,220,,769,1,1,1,1,,,FALSE
For Sale,172,10.1,14.9,4.1,258,,617,1,1,1,1,,,FALSE
The Crew,284083,12.9,17.9,4,267,,924,1,1,1,1,,,FALSE
Innovation,63888,14.3,10.5,2.4,268,,360,1,1,1,1,,,FALSE
Tiny Epic Galaxies,317105,12,17.9,4.1,270,,881,1,1,1,1,,,FALSE
The Mind,244992,10.5,13.5,2.5,271,,354,1,1,1,1,,,FALSE
The Resistance,41114,15,20,4.5,313,,1350,1,1,1,1,,,FALSE
"Air, Land, and Sea",247367,11.5,16,4.1,314,,754,1,1,1,1,,,FALSE
One Night Ultimate Werewolf,163166,17.5,13.5,3.9,321,,921,1,1,1,1,,,FALSE
Unstable Unicorns,234190,14.7,10.1,5,345,,742,1,1,1,1,,,FALSE
You've Got Crabs,246759,19.6,14,5.113,361,,1403,1,1,1,1,,,FALSE
Skull,92415,13.5,13.5,5.5,364,,1002,1,1,1,1,,,FALSE
Alice is Missing,62210,14,16.5,4.2,366,1,970,1,1,1,1,,,FALSE
Jaipur,54043,13.5,18.5,4.333,398,,1082,1,1,1,1,,,FALSE
Draftosaurus,264055,19.9,19.9,5.64,465,,2233,1,1,1,1,,,FALSE
Carcassonne,822,13.8,19.1,6.789,480,,1789,1,1,1,1,,,FALSE
Spyfall,166384,22,22,4.775,839,,2311,1,,,,,,FALSE
Smash Up,122522,24,24,7.285,874,,4196,1,,,,,,FALSE
Undaunted Normandy,268864,22,28,6.881,930,,4239,1,1,1,1,,,FALSE
Root: The Marauder Expansion,330149,29.5,23,5.453,1170,,3700,1,,,,,,FALSE
Sheriff of Nottingham,157969,25.5,25.5,7.698,1186,,5006,1,,,,,,FALSE
Star Wars Destiny,205359,25.5,25.5,5.211,1215,,3388,1,,,,,,FALSE
Oceans,232414,30,30,7.591,1285,,6832,1,,,,,,FALSE
Planet X,1234,27.9,27.9,6.084,1449,,4736,1,,,,,,FALSE
Pandemic,30549,22.5,31,4.805,1471,,3351,1,,,,,,FALSE
The Quacks of Quedlinburg,244521,30,30,7.118,1476,,6406,1,,,,,,FALSE
Puerto Rico,3076,22,31,6.827,1526,,4656,1,,,,,,FALSE
Galaxy Trucker,31481,23.5,32.5,7.153,1547,,5463,1,,,,,,FALSE
Inis,255588,35,24.5,5.519,1809,,4733,1,,,,,,TRUE
Sidereal Confluence,202426,30,30,6.758,1825,,6082,1,,,,,,TRUE
Roll for the galaxy,132531,29.5,29.5,7.911,1868,,6885,1,,,,,,TRUE
Robinson Crusoe,121921,30,30,7.143,1941,,6429,1,,,,,,TRUE
T.I.M.E Stores,146508,30,30,7.376,2031,,6638,1,,,,,,TRUE
The King's Dilemma,245655,30,30,10.214,2038,,9193,1,,,,,,TRUE
Evolution,182134,30,30,6.966,2285,,6269,1,,,,,,TRUE
Root,237182,29.5,23,7.17,2731,,4865,1,,,,,,TRUE
Ticket to Ride,14996,30,30,7.234,2751,,6511,1,,,,,,TRUE
Terraforming Mars,167791,36,29.5,7.429,2852,,7890,1,,,,,,TRUE
Spirit Island,162886,29.5,29.5,8.635,3120,,7515,1,,,,,,TRUE
Alchemists,161970,30,30,8.911,3125,,8020,1,,,,,,TRUE
Tales of the Arabian Nights,34119,37.5,27.5,7.573,3223,,7810,1,,,,,,TRUE
Blood on the Clocktower,240980,30,37,8.97,3853,,9957,1,,,,,,TRUE
Dominion,36218,30,30,7.202,4630,,6482,1,,,,,,TRUE